R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
105,210,231,167,219,216,224,228,204,243,134,48,250,105,0
254,67,101,252,157,154,249,205,173,200,200,169,131,175,155
236,208,120,217,91,67,192,41,66,84,36,55,83,119,122
85,98,112,78,205,196,199,244,100,255,107,107,196,77,88
119,79,56,224,142,121,241,212,175,236,229,206,197,224,220
232,221,203,205,179,128,3,101,100,3,54,73,3,22,52
73,10,61,189,21,80,233,127,2,248,202,0,138,155,15
89,79,79,84,121,128,69,173,168,157,224,173,229,252,194
0,160,176,106,74,60,204,51,63,235,104,65,237,201,81
233,78,119,214,129,137,198,164,154,198,229,217,244,234,213
63,184,175,127,199,175,218,216,167,255,158,157,255,61,127
217,206,178,148,140,117,213,222,217,122,106,83,153,178,183
255,255,255,203,232,107,242,233,225,28,20,13,203,232,107
239,255,205,220,233,190,85,81,82,46,38,51,153,23,60
52,56,56,0,95,107,0,140,158,0,180,204,0,223,252
65,62,74,115,98,110,179,129,132,240,180,158,247,228,190
255,78,80,252,145,58,249,212,35,237,229,116,225,245,196
153,184,152,254,206,168,255,132,124,232,74,95,42,54,59
101,86,67,128,188,163,246,247,189,230,172,39,191,77,40
0,168,198,64,192,203,249,242,231,174,226,57,143,190,0
53,19,48,66,66,84,100,144,138,232,202,164,204,42,65
85,66,54,247,120,37,211,206,61,241,239,165,96,185,154
93,65,87,131,134,137,168,202,186,202,215,178,235,227,170
140,35,24,94,140,106,136,166,94,191,179,90,242,196,90
250,208,137,255,156,91,245,99,74,237,48,60,59,129,131
248,177,149,246,114,128,192,108,132,108,91,123,53,92,125
255,66,66,244,250,210,212,238,94,225,237,185,240,242,235
209,231,81,255,255,255,0,0,0,77,188,233,38,173,228
27,103,107,81,149,72,136,196,37,190,242,2,234,253,230
94,65,47,252,235,182,120,192,168,240,120,24,240,168,48
188,189,172,207,190,39,242,116,53,240,36,117,59,45,56
69,38,50,145,32,77,228,132,74,232,191,86,226,247,206
238,230,171,197,188,142,105,103,88,69,72,75,54,57,59
240,216,168,61,28,0,134,184,177,242,214,148,250,42,0
42,4,74,11,46,89,13,103,89,122,179,23,160,197,95
240,65,85,255,130,58,242,242,111,255,247,189,149,207,183
185,215,217,102,130,132,42,40,41,73,55,54,123,59,59
179,204,87,236,240,129,255,190,64,239,116,111,171,62,91
187,187,136,204,198,141,238,221,153,238,194,144,238,170,136
163,169,72,237,185,46,248,89,49,206,24,54,0,153,137
170,179,171,196,203,183,235,239,201,238,224,183,232,202,175
48,0,48,72,0,72,96,24,72,192,72,72,240,114,65
103,145,122,23,4,9,184,175,3,204,191,130,227,50,88
232,213,183,14,36,48,252,58,81,245,179,73,232,213,185
96,120,72,120,144,72,192,216,96,240,240,216,96,72,72
182,216,192,200,217,191,218,218,189,236,219,188,254,220,186
