Figma,GitHub,GDrive,Zotero,iCal,flat,date
0,0,0,1,0,0,2012-08-01
0,0,0,95,0,0,2013-12-01
0,0,0,4,0,0,2014-01-01
0,0,0,1,0,0,2014-02-01
0,0,2,1,0,0,2014-05-01
0,0,0,2,0,0,2014-12-01
0,0,1,0,0,0,2015-03-01
0,1,0,0,0,0,2015-08-01
0,4,0,0,0,0,2016-03-01
0,3,0,0,0,0,2016-04-01
0,2,0,0,0,0,2016-05-01
0,1,0,0,0,0,2016-06-01
0,1,0,0,0,0,2016-08-01
0,15,0,0,0,0,2016-09-01
0,13,6,0,0,0,2016-10-01
0,3,0,0,0,0,2016-11-01
0,27,0,0,0,0,2016-12-01
0,14,0,0,0,0,2017-01-01
0,1,0,0,0,0,2017-02-01
0,10,0,0,0,0,2017-03-01
0,5,0,0,0,0,2017-04-01
0,0,0,0,2,0,2017-05-01
0,0,0,0,3,0,2017-06-01
0,0,0,0,2,0,2017-08-01
0,0,0,0,2,0,2017-09-01
0,0,0,0,4,0,2017-10-01
0,0,2,0,2,0,2017-11-01
0,0,0,0,1,0,2017-12-01
0,0,0,0,2,0,2018-01-01
0,0,0,0,1,0,2018-02-01
0,0,3,0,0,0,2018-04-01
0,2,14,0,1,0,2018-05-01
0,2,32,0,0,0,2018-06-01
0,9,3,0,0,0,2018-07-01
0,1,0,0,1,0,2018-08-01
0,0,3,0,2,0,2018-09-01
0,1,9,0,0,0,2018-10-01
0,1,1,0,0,0,2018-11-01
0,0,0,0,1,0,2018-12-01
0,2,7,0,0,0,2019-01-01
0,19,0,0,0,0,2019-02-01
0,6,1,0,0,0,2019-03-01
0,2,0,0,0,0,2019-04-01
0,6,0,0,0,0,2019-05-01
0,1,0,0,0,0,2019-06-01
0,4,0,0,0,0,2019-07-01
0,2,1,0,0,0,2019-08-01
0,1,0,0,0,0,2019-09-01
0,2,0,0,0,0,2019-10-01
0,13,0,0,0,0,2019-11-01
0,16,0,0,0,0,2019-12-01
0,2,3,0,1,0,2020-01-01
0,8,1,0,0,0,2020-02-01
0,15,0,0,1,0,2020-03-01
0,6,0,0,0,0,2020-04-01
0,45,8,0,1,0,2020-05-01
0,19,2,0,0,0,2020-06-01
0,24,3,0,0,0,2020-07-01
0,14,57,0,1,0,2020-08-01
0,14,13,0,0,0,2020-09-01
0,3,4,0,0,0,2020-10-01
0,7,38,0,0,0,2020-11-01
0,66,10,0,0,0,2020-12-01
0,49,3,0,1,0,2021-01-01
5,5,1,0,0,0,2021-02-01
16,16,20,0,1,0,2021-03-01
28,12,2,0,1,0,2021-04-01
21,10,0,0,2,0,2021-05-01
33,93,59,0,2,0,2021-06-01
43,69,2,0,0,0,2021-07-01
4,27,10,0,2,0,2021-08-01
7,5,1,0,4,0,2021-09-01
11,25,0,0,3,0,2021-10-01
5,15,65,0,3,0,2021-11-01
3,12,1,0,1,0,2021-12-01
10,5,6,0,1,0,2022-01-01
12,21,1,0,2,0,2022-02-01
6,24,5,0,3,0,2022-03-01
14,18,0,0,2,0,2022-04-01
2,7,11,0,3,0,2022-05-01
22,7,28,0,0,0,2022-06-01
29,32,62,0,1,0,2022-07-01
15,7,13,0,0,0,2022-08-01
9,8,0,0,1,0,2022-09-01
13,27,0,0,0,0,2022-10-01
18,15,0,0,2,0,2022-11-01
7,8,0,0,1,0,2022-12-01
40,64,6,0,2,0,2023-01-01
36,39,4,0,1,0,2023-02-01
49,49,4,0,6,0,2023-03-01
32,12,2,0,3,0,2023-04-01
10,25,22,0,2,0,2023-05-01
27,22,9,0,8,0,2023-06-01
2,15,12,10,2,0,2023-07-01
6,40,33,0,4,0,2023-08-01
3,8,25,0,3,0,2023-09-01
25,34,14,0,0,0,2023-10-01
4,20,0,0,0,0,2023-11-01
6,8,4,0,0,0,2023-12-01
22,10,2,0,0,0,2024-01-01
21,19,19,0,0,0,2024-02-01
67,54,16,0,0,0,2024-03-01
28,21,106,0,0,0,2024-04-01
0,0,0,0,0,0,2024-05-01
