"voyage_id","date_vessels_voyage_began","date_vessel_arrived_with_captives","year_of_arrival_at_port_of_disembarkation","total_embarked_18","total_disembarked","derived_duration","slaves_died_during_middle_passage","mortality_rate","if_res","days_since_bg","days_since_end"
42994,1540-01-01,1541-01-01,1541,160,150,31622400,10,0.0625,0,0,3.66
41648,1548-01-01,1549-02-27,1549,314,251,36547200,63,0.200636942675159,0,29.22,33.45
41649,1548-01-01,1549-03-22,1549,380,304,38534400,76,0.2,0,29.22,33.68
29647,1548-01-01,1549-04-14,1549,120,89,40521600,31,0.258333333333333,0,29.22,33.91
41657,1549-01-01,1549-06-07,1549,329,263,13564800,66,0.200607902735562,0,32.88,34.45
41659,1549-01-01,1549-12-19,1549,358,286,30412800,72,0.201117318435754,0,32.88,36.4
41665,1549-01-01,1550-02-13,1550,410,328,35251200,82,0.2,0,32.88,36.96
41666,1549-01-01,1550-02-12,1550,525,420,35164800,105,0.2,0,32.88,36.95
41667,1549-01-01,1550-02-19,1550,363,290,35769600,73,0.201101928374656,0,32.88,37.02
42993,1551-01-01,1552-12-01,1552,107,80,60480000,27,0.252336448598131,0,40.18,47.18
42133,1553-01-01,1554-01-19,1554,359,287,33091200,72,0.200557103064067,0,47.49,51.32
42134,1553-01-01,1554-04-29,1554,359,287,41731200,72,0.200557103064067,0,47.49,52.32
42135,1553-01-01,1554-05-02,1554,359,287,41990400,72,0.200557103064067,0,47.49,52.35
42136,1553-01-01,1554-06-01,1554,359,287,44582400,72,0.200557103064067,0,47.49,52.65
42137,1554-01-01,1554-12-08,1554,359,287,29462400,72,0.200557103064067,0,51.14,54.55
42501,1555-01-01,1555-06-14,1555,359,287,14169600,72,0.200557103064067,0,54.79,56.43
42502,1555-01-01,1555-07-09,1555,359,287,16329600,72,0.200557103064067,0,54.79,56.68
42503,1555-01-01,1555-11-01,1555,155,115,26265600,40,0.258064516129032,0,54.79,57.83
42505,1557-01-01,1557-10-13,1557,359,287,24624000,72,0.200557103064067,0,62.1,64.95
42506,1558-01-01,1559-05-30,1559,359,287,44409600,72,0.200557103064067,0,65.75,70.89
42889,1558-01-01,1559-06-25,1559,359,287,46656000,72,0.200557103064067,0,65.75,71.15
42890,1558-01-01,1559-06-13,1559,359,287,45619200,72,0.200557103064067,0,65.75,71.03
42891,1558-01-01,1559-06-13,1559,359,287,45619200,72,0.200557103064067,0,65.75,71.03
42892,1558-01-01,1559-05-30,1559,359,287,44409600,72,0.200557103064067,0,65.75,70.89
42888,1559-01-01,1560-06-30,1560,359,287,47174400,72,0.200557103064067,0,69.4,74.86
42878,1562-01-01,1562-11-14,1562,359,287,27388800,72,0.200557103064067,0,80.36,83.53
42879,1562-01-01,1562-11-13,1562,359,287,27302400,72,0.200557103064067,0,80.36,83.52
42880,1562-01-01,1562-10-22,1562,359,287,25401600,72,0.200557103064067,0,80.36,83.3
42881,1562-01-01,1562-10-02,1562,359,287,23673600,72,0.200557103064067,0,80.36,83.1
42882,1562-01-01,1562-09-13,1562,359,287,22032000,72,0.200557103064067,0,80.36,82.91
42883,1562-01-01,1562-09-07,1562,359,287,21513600,72,0.200557103064067,0,80.36,82.85
42885,1562-01-01,1562-05-01,1562,359,287,10368000,72,0.200557103064067,0,80.36,81.56
42886,1562-01-01,1562-02-20,1562,359,287,4320000,72,0.200557103064067,0,80.36,80.86
42887,1562-01-01,1562-02-20,1562,359,287,4320000,72,0.200557103064067,0,80.36,80.86
42986,1562-06-01,1562-08-12,1562,208,202,6220800,6,0.0288461538461538,0,81.87,82.59
98836,1562-10-01,1563-04-01,1563,100,93,15724800,7,0.07,0,83.09,84.91
98837,1562-10-01,1563-04-01,1563,100,93,15724800,7,0.07,0,83.09,84.91
98838,1562-10-01,1563-04-01,1563,100,93,15724800,7,0.07,0,83.09,84.91
42857,1563-01-01,1564-07-31,1564,359,287,49852800,72,0.200557103064067,0,84.01,89.78
42875,1563-01-01,1563-08-23,1563,359,287,20217600,72,0.200557103064067,0,84.01,86.35
42876,1563-01-01,1563-07-31,1563,359,287,18230400,72,0.200557103064067,0,84.01,86.12
42877,1563-01-01,1563-07-31,1563,359,287,18230400,72,0.200557103064067,0,84.01,86.12
42845,1564-01-01,1564-08-30,1564,359,287,20908800,72,0.200557103064067,0,87.66,90.08
42849,1564-01-01,1564-09-09,1564,359,287,21772800,72,0.200557103064067,0,87.66,90.18
42856,1564-01-01,1564-08-30,1564,359,287,20908800,72,0.200557103064067,0,87.66,90.08
98839,1564-10-18,1565-04-02,1565,100,92,14342400,8,0.08,0,90.57,92.23
98840,1564-10-18,1565-04-02,1565,100,92,14342400,8,0.08,0,90.57,92.23
98841,1564-10-18,1565-04-02,1565,100,93,14342400,7,0.07,0,90.57,92.23
98842,1564-10-18,1565-04-02,1565,100,93,14342400,7,0.07,0,90.57,92.23
42844,1565-01-01,1566-02-11,1566,359,287,35078400,72,0.200557103064067,0,91.32,95.38
42848,1565-01-01,1565-09-20,1565,359,287,22636800,72,0.200557103064067,0,91.32,93.94
42850,1565-01-01,1565-10-20,1565,359,287,25228800,72,0.200557103064067,0,91.32,94.24
28058,1565-01-01,1565-04-23,1565,400,298,9676800,102,0.255,1,91.32,92.44
42851,1567-01-01,1567-07-03,1567,359,287,15811200,72,0.200557103064067,0,98.62,100.45
98846,1567-10-02,1568-01-01,1568,78,54,7862400,24,0.307692307692308,0,101.36,102.27
98848,1567-10-02,1568-01-01,1568,78,54,7862400,24,0.307692307692308,0,101.36,102.27
98849,1567-10-02,1568-01-01,1568,78,54,7862400,24,0.307692307692308,0,101.36,102.27
98850,1567-10-02,1568-01-01,1568,78,54,7862400,24,0.307692307692308,0,101.36,102.27
98851,1567-10-02,1568-01-01,1568,359,287,7862400,72,0.200557103064067,0,101.36,102.27
42855,1569-01-01,1569-06-01,1569,414,331,13046400,83,0.20048309178744,0,105.93,107.44
42858,1569-01-01,1569-07-31,1569,363,290,18230400,73,0.201101928374656,0,105.93,108.04
42859,1569-01-01,1569-07-31,1569,510,408,18230400,102,0.2,0,105.93,108.04
42860,1569-01-01,1569-08-12,1569,529,423,19267200,106,0.200378071833648,0,105.93,108.16
42861,1570-01-01,1570-01-29,1570,576,461,2419200,115,0.199652777777778,0,109.58,109.86
42862,1571-01-01,1571-12-28,1571,575,460,31190400,115,0.2,0,113.23,116.84
42570,1572-01-01,1573-09-01,1573,263,210,52617600,53,0.201520912547529,0,116.88,122.97
42863,1572-01-01,1572-10-10,1572,396,317,24451200,79,0.19949494949495,0,116.88,119.71
29582,1572-01-01,1573-01-01,1573,367,294,31622400,73,0.198910081743869,0,116.88,120.54
28054,1572-01-01,1572-07-26,1572,359,287,17884800,72,0.200557103064067,0,116.88,118.95
28055,1574-01-01,1575-02-17,1575,361,289,35596800,72,0.199445983379501,0,124.19,128.31
42864,1574-01-01,1574-08-11,1574,470,376,19180800,94,0.2,0,124.19,126.41
42865,1574-01-01,1575-02-23,1575,344,276,36115200,68,0.197674418604651,0,124.19,128.37
29646,1574-01-01,1575-12-16,1575,304,243,61689600,61,0.200657894736842,0,124.19,131.33
42737,1575-01-01,1575-10-01,1575,600,100,23587200,500,0.833333333333333,0,127.84,130.57
42717,1578-08-09,1578-12-01,1578,284,227,9849600,57,0.200704225352113,0,141,142.14
42557,1579-01-01,1579-08-01,1579,359,287,18316800,72,0.200557103064067,0,142.45,144.57
42869,1582-01-01,1583-01-01,1583,359,287,31536000,72,0.200557103064067,0,153.41,157.06
28056,1584-01-01,1585-03-20,1585,359,287,38361600,72,0.200557103064067,0,160.71,165.15
28057,1584-01-01,1585-03-06,1585,359,287,37152000,72,0.200557103064067,0,160.71,165.01
28059,1584-01-01,1585-04-10,1585,359,287,40176000,72,0.200557103064067,0,160.71,165.36
28060,1584-06-06,1585-02-17,1585,359,287,22118400,72,0.200557103064067,0,162.28,164.84
42559,1585-01-01,1585-09-01,1585,359,287,20995200,72,0.200557103064067,0,164.37,166.8
98831,1585-01-01,1587-01-01,1587,359,287,63072000,72,0.200557103064067,0,164.37,171.67
28061,1585-01-01,1586-05-30,1586,359,287,44409600,72,0.200557103064067,0,164.37,169.51
28062,1585-01-01,1586-05-28,1586,359,287,44236800,72,0.200557103064067,0,164.37,169.49
28216,1585-06-01,1586-09-01,1586,359,287,39484800,72,0.200557103064067,0,165.88,170.45
28068,1586-01-01,1587-07-26,1587,597,478,49334400,119,0.199329983249581,0,168.02,173.73
28072,1586-01-01,1588-01-04,1588,498,398,63331200,100,0.200803212851406,0,168.02,175.35
41935,1586-01-01,1587-01-01,1587,328,262,31536000,66,0.201219512195122,0,168.02,171.67
